year_dateformat,Code,Quantity
2013-04-01,AK,53
2013-05-01,AK,42
2013-06-01,AK,143
2013-07-01,AK,162
2013-08-01,AK,114
2013-09-01,AK,98
2013-10-01,AK,58
2013-11-01,AK,49
2013-12-01,AK,126
2014-01-01,AK,210
2014-02-01,AK,46
2014-03-01,AK,608
2014-04-01,AK,19
2014-05-01,AK,16
2014-06-01,AK,19
2014-07-01,AK,130
2014-08-01,AK,43
2014-09-01,AK,27
2014-10-01,AK,49
2014-11-01,AK,44
2014-12-01,AK,66
2015-01-01,AK,106
2015-02-01,AK,85
2015-03-01,AK,29
2015-04-01,AK,34
2015-05-01,AK,63
2015-06-01,AK,55
2015-07-01,AK,38
2015-08-01,AK,59
2015-09-01,AK,111
2015-10-01,AK,89
2015-11-01,AK,132
2015-12-01,AK,265
2016-01-01,AK,590
2016-02-01,AK,282
2016-03-01,AK,197
2016-04-01,AK,207
2016-05-01,AK,146
2016-06-01,AK,228
2016-07-01,AK,247
2016-08-01,AK,254
2016-09-01,AK,268
2016-10-01,AK,249
2016-11-01,AK,241
2016-12-01,AK,547
2017-01-01,AK,901
2017-02-01,AK,214
2017-03-01,AK,223
2017-04-01,AK,259
2017-05-01,AK,215
2017-06-01,AK,270
2017-07-01,AK,289
2017-08-01,AK,347
2017-09-01,AK,301
2017-10-01,AK,533
2017-11-01,AK,693
2017-12-01,AK,1252
2018-01-01,AK,1060
2018-02-01,AK,1410
2018-03-01,AK,294
2018-04-01,AK,283
2018-05-01,AK,233
2018-06-01,AK,247
2018-07-01,AK,299
2018-08-01,AK,254
2018-09-01,AK,312
2018-10-01,AK,267
2018-11-01,AK,522
2018-12-01,AK,744
2019-01-01,AK,2683
2019-02-01,AK,663
2019-03-01,AK,511
2019-04-01,AK,695
2019-05-01,AK,570
2019-06-01,AK,815
2019-07-01,AK,1020
2019-08-01,AK,686
2019-09-01,AK,716
2019-10-01,AK,94
