year_dateformat,Code,Quantity
2014-11-01,AL,61
2014-12-01,AL,160
2015-01-01,AL,218
2015-02-01,AL,175
2015-03-01,AL,16
2015-04-01,AL,14
2015-05-01,AL,8
2015-06-01,AL,2
2015-07-01,AL,5
2015-08-01,AL,1
2015-09-01,AL,3
2015-10-01,AL,80
2015-11-01,AL,57
2015-12-01,AL,144
2016-01-01,AL,226
2016-02-01,AL,92
2016-03-01,AL,39
2016-04-01,AL,25
2016-05-01,AL,21
2016-06-01,AL,21
2016-07-01,AL,3
2016-08-01,AL,4
2016-09-01,AL,20
2016-10-01,AL,22
2016-11-01,AL,70
2016-12-01,AL,364
2017-01-01,AL,523
2017-02-01,AL,77
2017-03-01,AL,85
2017-04-01,AL,48
2017-05-01,AL,40
2017-06-01,AL,53
2017-07-01,AL,74
2017-08-01,AL,82
2017-09-01,AL,68
2017-10-01,AL,109
2017-11-01,AL,425
2017-12-01,AL,973
2018-01-01,AL,645
2018-02-01,AL,637
2018-03-01,AL,90
2018-04-01,AL,44
2018-05-01,AL,25
2018-06-01,AL,30
2018-07-01,AL,22
2018-08-01,AL,18
2018-09-01,AL,33
2018-10-01,AL,48
2018-11-01,AL,37
2018-12-01,AL,252
2019-01-01,AL,1001
2019-02-01,AL,162
2019-03-01,AL,134
2019-04-01,AL,94
2019-05-01,AL,91
2019-06-01,AL,78
2019-07-01,AL,77
2019-08-01,AL,72
2019-09-01,AL,98
2019-10-01,AL,12
