year_dateformat,Code,Quantity
2015-11-01,AV,30
2015-12-01,AV,65
2016-01-01,AV,264
2016-02-01,AV,92
2016-03-01,AV,118
2016-04-01,AV,167
2016-05-01,AV,165
2016-06-01,AV,145
2016-07-01,AV,231
2016-08-01,AV,155
2016-09-01,AV,170
2016-10-01,AV,219
2016-11-01,AV,177
2016-12-01,AV,262
2017-01-01,AV,245
2017-02-01,AV,180
2017-03-01,AV,239
2017-04-01,AV,161
2017-05-01,AV,223
2017-06-01,AV,226
2017-07-01,AV,214
2017-08-01,AV,244
2017-09-01,AV,171
2017-10-01,AV,294
2017-11-01,AV,347
2017-12-01,AV,396
2018-01-01,AV,523
2018-02-01,AV,232
2018-03-01,AV,328
2018-04-01,AV,294
2018-05-01,AV,279
2018-06-01,AV,267
2018-07-01,AV,354
2018-08-01,AV,245
2018-09-01,AV,297
2018-10-01,AV,365
2018-11-01,AV,419
2018-12-01,AV,484
2019-01-01,AV,622
2019-02-01,AV,151
2019-03-01,AV,327
2019-04-01,AV,298
2019-05-01,AV,347
2019-06-01,AV,312
2019-07-01,AV,297
2019-08-01,AV,241
2019-09-01,AV,272
2019-10-01,AV,66
