year_dateformat,Code,Quantity
2013-03-01,AV1L,3
2013-04-01,AV1L,57
2013-05-01,AV1L,53
2013-06-01,AV1L,33
2013-07-01,AV1L,32
2013-08-01,AV1L,43
2013-09-01,AV1L,43
2013-10-01,AV1L,57
2013-11-01,AV1L,93
2013-12-01,AV1L,29
2014-01-01,AV1L,37
2014-02-01,AV1L,6
2014-03-01,AV1L,72
2014-04-01,AV1L,11
2014-05-01,AV1L,41
2014-06-01,AV1L,77
2014-07-01,AV1L,82
2014-08-01,AV1L,28
2014-09-01,AV1L,18
2014-10-01,AV1L,7
2014-11-01,AV1L,3
2014-12-01,AV1L,5
2015-01-01,AV1L,4
2015-02-01,AV1L,24
2015-03-01,AV1L,29
2015-04-01,AV1L,13
2015-05-01,AV1L,18
2015-06-01,AV1L,33
2015-10-01,AV1L,2
2015-11-01,AV1L,1
2015-12-01,AV1L,1
2016-01-01,AV1L,1
2017-11-01,AV1L,13
2018-02-01,AV1L,1
2018-11-01,AV1L,1
2019-02-01,AV1L,1
