year_dateformat,Code,Quantity
2013-07-01,BV,16
2013-08-01,BV,10
2013-09-01,BV,18
2013-10-01,BV,15
2013-11-01,BV,12
2013-12-01,BV,13
2014-01-01,BV,22
2014-02-01,BV,11
2014-03-01,BV,73
2014-04-01,BV,6
2014-05-01,BV,2
2014-06-01,BV,10
2014-07-01,BV,12
2014-08-01,BV,6
2014-09-01,BV,7
2014-10-01,BV,14
2014-11-01,BV,20
2014-12-01,BV,22
2015-01-01,BV,21
2015-02-01,BV,33
2015-03-01,BV,16
2015-04-01,BV,11
2015-05-01,BV,20
2015-06-01,BV,17
2015-07-01,BV,41
2015-08-01,BV,69
2015-09-01,BV,48
2015-10-01,BV,39
2015-11-01,BV,46
2015-12-01,BV,48
2016-01-01,BV,124
2016-02-01,BV,80
2016-03-01,BV,81
2016-04-01,BV,78
2016-05-01,BV,85
2016-06-01,BV,93
2016-07-01,BV,120
2016-08-01,BV,102
2016-09-01,BV,125
2016-10-01,BV,134
2016-11-01,BV,117
2016-12-01,BV,163
2017-01-01,BV,243
2017-02-01,BV,162
2017-03-01,BV,93
2017-04-01,BV,70
2017-05-01,BV,107
2017-06-01,BV,102
2017-07-01,BV,147
2017-08-01,BV,168
2017-09-01,BV,152
2017-10-01,BV,218
2017-11-01,BV,266
2017-12-01,BV,266
2018-01-01,BV,331
2018-02-01,BV,450
2018-03-01,BV,173
2018-04-01,BV,161
2018-05-01,BV,119
2018-06-01,BV,128
2018-07-01,BV,121
2018-08-01,BV,169
2018-09-01,BV,151
2018-10-01,BV,151
2018-11-01,BV,127
2018-12-01,BV,169
2019-01-01,BV,468
2019-02-01,BV,239
2019-03-01,BV,191
2019-04-01,BV,204
2019-05-01,BV,199
2019-06-01,BV,185
2019-07-01,BV,206
2019-08-01,BV,199
2019-09-01,BV,174
2019-10-01,BV,19
