year_dateformat,Code,Quantity
2015-10-01,CV,69
2015-11-01,CV,56
2015-12-01,CV,172
2016-01-01,CV,171
2016-02-01,CV,89
2016-03-01,CV,143
2016-04-01,CV,214
2016-05-01,CV,176
2016-06-01,CV,72
2016-07-01,CV,293
2016-08-01,CV,247
2016-09-01,CV,246
2016-10-01,CV,257
2016-11-01,CV,250
2016-12-01,CV,214
2017-01-01,CV,188
2017-02-01,CV,291
2017-03-01,CV,208
2017-04-01,CV,196
2017-05-01,CV,269
2017-06-01,CV,229
2017-07-01,CV,311
2017-08-01,CV,253
2017-09-01,CV,255
2017-10-01,CV,420
2017-11-01,CV,535
2017-12-01,CV,419
2018-01-01,CV,501
2018-02-01,CV,237
2018-03-01,CV,366
2018-04-01,CV,354
2018-05-01,CV,293
2018-06-01,CV,331
2018-07-01,CV,469
2018-08-01,CV,276
2018-09-01,CV,248
2018-10-01,CV,458
2018-11-01,CV,565
2018-12-01,CV,322
2019-01-01,CV,527
2019-02-01,CV,171
2019-03-01,CV,321
2019-04-01,CV,251
2019-05-01,CV,223
2019-06-01,CV,174
2019-07-01,CV,157
2019-08-01,CV,60
2019-09-01,CV,78
2019-10-01,CV,7
