year_dateformat,Code,Quantity
2013-03-01,ASM,48
2013-04-01,ASM,472
2013-05-01,ASM,543
2013-06-01,ASM,389
2013-07-01,ASM,477
2013-08-01,ASM,461
2013-09-01,ASM,559
2013-10-01,ASM,569
2013-11-01,ASM,521
2013-12-01,ASM,2764
2014-01-01,ASM,4102
2014-02-01,ASM,1359
2014-03-01,ASM,2827
2014-04-01,ASM,377
2014-05-01,ASM,323
2014-06-01,ASM,458
2014-07-01,ASM,978
2014-08-01,ASM,453
2014-09-01,ASM,513
2014-10-01,ASM,574
2014-11-01,ASM,633
2014-12-01,ASM,940
2015-01-01,ASM,1471
2015-02-01,ASM,1302
2015-03-01,ASM,454
2015-04-01,ASM,659
2015-05-01,ASM,722
2015-06-01,ASM,819
2015-07-01,ASM,703
2015-08-01,ASM,622
2015-09-01,ASM,694
2015-10-01,ASM,650
2015-11-01,ASM,679
2015-12-01,ASM,1163
2016-01-01,ASM,2299
2016-02-01,ASM,983
2016-03-01,ASM,706
2016-04-01,ASM,688
2016-05-01,ASM,627
2016-06-01,ASM,738
2016-07-01,ASM,889
2016-08-01,ASM,738
2016-09-01,ASM,1226
2016-10-01,ASM,986
2016-11-01,ASM,815
2016-12-01,ASM,1695
2017-01-01,ASM,2629
2017-02-01,ASM,510
2017-03-01,ASM,879
2017-04-01,ASM,827
2017-05-01,ASM,1257
2017-06-01,ASM,1293
2017-07-01,ASM,1507
2017-08-01,ASM,1730
2017-09-01,ASM,1726
2017-10-01,ASM,2119
2017-11-01,ASM,2574
2017-12-01,ASM,3193
2018-01-01,ASM,4624
2018-02-01,ASM,4404
2018-03-01,ASM,1290
2018-04-01,ASM,1550
2018-05-01,ASM,1515
2018-06-01,ASM,1562
2018-07-01,ASM,2139
2018-08-01,ASM,2274
2018-09-01,ASM,2415
2018-10-01,ASM,2313
2018-11-01,ASM,3133
2018-12-01,ASM,3226
2019-01-01,ASM,7786
2019-02-01,ASM,1895
2019-03-01,ASM,1549
2019-04-01,ASM,2146
2019-05-01,ASM,2486
2019-06-01,ASM,2678
2019-07-01,ASM,3960
2019-08-01,ASM,2382
2019-09-01,ASM,3460
2019-10-01,ASM,456
