year_dateformat,Code,Quantity
2013-03-01,AT,22
2013-04-01,AT,458
2013-05-01,AT,591
2013-06-01,AT,596
2013-07-01,AT,813
2013-08-01,AT,640
2013-09-01,AT,870
2013-10-01,AT,624
2013-11-01,AT,800
2013-12-01,AT,1451
2014-01-01,AT,3402
2014-02-01,AT,319
2014-03-01,AT,4644
2014-04-01,AT,436
2014-05-01,AT,437
2014-06-01,AT,438
2014-07-01,AT,1082
2014-08-01,AT,408
2014-09-01,AT,344
2014-10-01,AT,395
2014-11-01,AT,431
2014-12-01,AT,759
2015-01-01,AT,920
2015-02-01,AT,1088
2015-03-01,AT,284
2015-04-01,AT,356
2015-05-01,AT,615
2015-06-01,AT,470
2015-07-01,AT,471
2015-08-01,AT,401
2015-09-01,AT,779
2015-10-01,AT,499
2015-11-01,AT,375
2015-12-01,AT,708
2016-01-01,AT,1860
2016-02-01,AT,742
2016-03-01,AT,400
2016-04-01,AT,500
2016-05-01,AT,917
2016-06-01,AT,882
2016-07-01,AT,951
2016-08-01,AT,887
2016-09-01,AT,949
2016-10-01,AT,825
2016-11-01,AT,751
2016-12-01,AT,1689
2017-01-01,AT,3299
2017-02-01,AT,508
2017-03-01,AT,742
2017-04-01,AT,876
2017-05-01,AT,965
2017-06-01,AT,1755
2017-07-01,AT,1179
2017-08-01,AT,1598
2017-09-01,AT,1813
2017-10-01,AT,1590
2017-11-01,AT,2264
2017-12-01,AT,3443
2018-01-01,AT,4147
2018-02-01,AT,5199
2018-03-01,AT,1183
2018-04-01,AT,1700
2018-05-01,AT,1470
2018-06-01,AT,1626
2018-07-01,AT,2023
2018-08-01,AT,1701
2018-09-01,AT,1589
2018-10-01,AT,1646
2018-11-01,AT,2865
2018-12-01,AT,5440
2019-01-01,AT,9397
2019-02-01,AT,2014
2019-03-01,AT,1317
2019-04-01,AT,2432
2019-05-01,AT,2045
2019-06-01,AT,2310
2019-07-01,AT,2994
2019-08-01,AT,3008
2019-09-01,AT,2469
2019-10-01,AT,352
