year_dateformat,Code,Quantity
2015-12-01,G,16
2016-01-01,G,286
2016-02-01,G,181
2016-03-01,G,98
2016-04-01,G,135
2016-05-01,G,197
2016-06-01,G,230
2016-07-01,G,343
2016-08-01,G,252
2016-09-01,G,416
2016-10-01,G,361
2016-11-01,G,346
2016-12-01,G,455
2017-01-01,G,645
2017-02-01,G,167
2017-03-01,G,226
2017-04-01,G,290
2017-05-01,G,383
2017-06-01,G,326
2017-07-01,G,354
2017-08-01,G,381
2017-09-01,G,409
2017-10-01,G,543
2017-11-01,G,567
2017-12-01,G,670
2018-01-01,G,819
2018-02-01,G,805
2018-03-01,G,349
2018-04-01,G,348
2018-05-01,G,346
2018-06-01,G,404
2018-07-01,G,479
2018-08-01,G,327
2018-09-01,G,451
2018-10-01,G,508
2018-11-01,G,491
2018-12-01,G,504
2019-01-01,G,909
2019-02-01,G,304
2019-03-01,G,323
2019-04-01,G,376
2019-05-01,G,512
2019-06-01,G,356
2019-07-01,G,676
2019-08-01,G,309
2019-09-01,G,711
2019-10-01,G,113
