year_dateformat,Code,Quantity
2013-06-01,MK,2
2013-07-01,MK,9
2013-08-01,MK,10
2013-09-01,MK,16
2013-10-01,MK,6
2013-11-01,MK,1
2013-12-01,MK,15
2014-01-01,MK,45
2014-02-01,MK,9
2014-03-01,MK,136
2014-04-01,MK,6
2014-05-01,MK,4
2014-06-01,MK,7
2014-07-01,MK,18
2014-08-01,MK,8
2014-09-01,MK,4
2014-10-01,MK,6
2014-11-01,MK,7
2014-12-01,MK,7
2015-01-01,MK,2
2015-02-01,MK,3
2015-03-01,MK,1
2015-04-01,MK,10
2015-05-01,MK,25
2015-06-01,MK,15
2015-07-01,MK,24
2015-08-01,MK,29
2015-09-01,MK,25
2015-10-01,MK,33
2015-11-01,MK,40
2015-12-01,MK,47
2016-01-01,MK,65
2016-02-01,MK,32
2016-03-01,MK,36
2016-04-01,MK,61
2016-05-01,MK,34
2016-06-01,MK,26
2016-07-01,MK,26
2016-08-01,MK,15
2016-09-01,MK,31
2016-10-01,MK,48
2016-11-01,MK,34
2016-12-01,MK,77
2017-01-01,MK,128
2017-02-01,MK,42
2017-03-01,MK,53
2017-04-01,MK,61
2017-05-01,MK,97
2017-06-01,MK,77
2017-07-01,MK,79
2017-08-01,MK,90
2017-09-01,MK,68
2017-10-01,MK,95
2017-11-01,MK,91
2017-12-01,MK,128
2018-01-01,MK,161
2018-02-01,MK,187
2018-03-01,MK,101
2018-04-01,MK,120
2018-05-01,MK,83
2018-06-01,MK,89
2018-07-01,MK,79
2018-08-01,MK,82
2018-09-01,MK,62
2018-10-01,MK,59
2018-11-01,MK,100
2018-12-01,MK,72
2019-01-01,MK,123
2019-02-01,MK,32
2019-03-01,MK,43
2019-04-01,MK,49
2019-05-01,MK,36
2019-06-01,MK,35
2019-07-01,MK,31
2019-08-01,MK,22
2019-09-01,MK,10
2019-10-01,MK,1
