year_dateformat,Code,Quantity
2013-06-01,N,5
2013-07-01,N,58
2013-08-01,N,49
2013-09-01,N,53
2013-10-01,N,35
2013-11-01,N,46
2013-12-01,N,55
2014-01-01,N,55
2014-02-01,N,28
2014-03-01,N,162
2014-04-01,N,10
2014-05-01,N,8
2014-06-01,N,10
2014-07-01,N,27
2014-08-01,N,37
2014-09-01,N,19
2014-10-01,N,13
2014-11-01,N,38
2014-12-01,N,60
2015-01-01,N,58
2015-02-01,N,63
2015-03-01,N,43
2015-04-01,N,50
2015-05-01,N,32
2015-06-01,N,33
2015-07-01,N,45
2015-08-01,N,43
2015-09-01,N,42
2015-10-01,N,136
2015-11-01,N,188
2015-12-01,N,269
2016-01-01,N,378
2016-02-01,N,203
2016-03-01,N,193
2016-04-01,N,247
2016-05-01,N,291
2016-06-01,N,228
2016-07-01,N,163
2016-08-01,N,175
2016-09-01,N,194
2016-10-01,N,207
2016-11-01,N,203
2016-12-01,N,405
2017-01-01,N,435
2017-02-01,N,208
2017-03-01,N,295
2017-04-01,N,236
2017-05-01,N,230
2017-06-01,N,225
2017-07-01,N,202
2017-08-01,N,183
2017-09-01,N,133
2017-10-01,N,215
2017-11-01,N,359
2017-12-01,N,541
2018-01-01,N,456
2018-02-01,N,504
2018-03-01,N,254
2018-04-01,N,219
2018-05-01,N,166
2018-06-01,N,199
2018-07-01,N,215
2018-08-01,N,131
2018-09-01,N,130
2018-10-01,N,120
2018-11-01,N,177
2018-12-01,N,119
2019-01-01,N,296
2019-02-01,N,88
2019-03-01,N,120
2019-04-01,N,124
2019-05-01,N,100
2019-06-01,N,93
2019-07-01,N,100
2019-08-01,N,83
2019-09-01,N,66
2019-10-01,N,3
