year_dateformat,Code,Quantity
2013-03-01,QK,9
2013-04-01,QK,201
2013-05-01,QK,294
2013-06-01,QK,289
2013-07-01,QK,399
2013-08-01,QK,364
2013-09-01,QK,357
2013-10-01,QK,284
2013-11-01,QK,320
2013-12-01,QK,579
2014-01-01,QK,1138
2014-02-01,QK,64
2014-03-01,QK,684
2014-04-01,QK,94
2014-05-01,QK,206
2014-06-01,QK,243
2014-07-01,QK,364
2014-08-01,QK,196
2014-09-01,QK,256
2014-10-01,QK,145
2014-11-01,QK,275
2014-12-01,QK,359
2015-01-01,QK,669
2015-02-01,QK,551
2015-03-01,QK,181
2015-04-01,QK,183
2015-05-01,QK,283
2015-06-01,QK,383
2015-07-01,QK,451
2015-08-01,QK,347
2015-09-01,QK,442
2015-10-01,QK,543
2015-11-01,QK,735
2015-12-01,QK,745
2016-01-01,QK,2181
2016-02-01,QK,646
2016-03-01,QK,688
2016-04-01,QK,778
2016-05-01,QK,736
2016-06-01,QK,638
2016-07-01,QK,828
2016-08-01,QK,739
2016-09-01,QK,781
2016-10-01,QK,524
2016-11-01,QK,547
2016-12-01,QK,1129
2017-01-01,QK,1733
2017-02-01,QK,259
2017-03-01,QK,412
2017-04-01,QK,368
2017-05-01,QK,488
2017-06-01,QK,688
2017-07-01,QK,644
2017-08-01,QK,502
2017-09-01,QK,519
2017-10-01,QK,728
2017-11-01,QK,687
2017-12-01,QK,718
2018-01-01,QK,1130
2018-02-01,QK,1320
2018-03-01,QK,278
2018-04-01,QK,392
2018-05-01,QK,327
2018-06-01,QK,370
2018-07-01,QK,437
2018-08-01,QK,429
2018-09-01,QK,514
2018-10-01,QK,470
2018-11-01,QK,582
2018-12-01,QK,608
2019-01-01,QK,1887
2019-02-01,QK,332
2019-03-01,QK,240
2019-04-01,QK,404
2019-05-01,QK,333
2019-06-01,QK,398
2019-07-01,QK,807
2019-08-01,QK,582
2019-09-01,QK,543
2019-10-01,QK,62
