year_dateformat,Code,Quantity
2013-06-01,QS,13
2013-07-01,QS,63
2013-08-01,QS,86
2013-09-01,QS,64
2013-10-01,QS,45
2013-11-01,QS,42
2013-12-01,QS,58
2014-01-01,QS,79
2014-02-01,QS,10
2014-03-01,QS,125
2014-04-01,QS,7
2014-05-01,QS,3
2014-06-01,QS,16
2014-07-01,QS,65
2014-08-01,QS,22
2014-09-01,QS,46
2014-10-01,QS,56
2014-11-01,QS,84
2014-12-01,QS,125
2015-01-01,QS,121
2015-02-01,QS,99
2015-03-01,QS,38
2015-04-01,QS,153
2015-05-01,QS,201
2015-06-01,QS,306
2015-07-01,QS,283
2015-08-01,QS,232
2015-09-01,QS,163
2015-10-01,QS,147
2015-11-01,QS,208
2015-12-01,QS,298
2016-01-01,QS,677
2016-02-01,QS,306
2016-03-01,QS,239
2016-04-01,QS,430
2016-05-01,QS,477
2016-06-01,QS,507
2016-07-01,QS,455
2016-08-01,QS,431
2016-09-01,QS,381
2016-10-01,QS,270
2016-11-01,QS,275
2016-12-01,QS,606
2017-01-01,QS,1189
2017-02-01,QS,193
2017-03-01,QS,268
2017-04-01,QS,461
2017-05-01,QS,528
2017-06-01,QS,685
2017-07-01,QS,842
2017-08-01,QS,834
2017-09-01,QS,785
2017-10-01,QS,876
2017-11-01,QS,834
2017-12-01,QS,997
2018-01-01,QS,1987
2018-02-01,QS,2622
2018-03-01,QS,488
2018-04-01,QS,1433
2018-05-01,QS,687
2018-06-01,QS,711
2018-07-01,QS,919
2018-08-01,QS,1046
2018-09-01,QS,934
2018-10-01,QS,895
2018-11-01,QS,1238
2018-12-01,QS,1201
2019-01-01,QS,3568
2019-02-01,QS,740
2019-03-01,QS,519
2019-04-01,QS,891
2019-05-01,QS,732
2019-06-01,QS,1211
2019-07-01,QS,1564
2019-08-01,QS,1628
2019-09-01,QS,1515
2019-10-01,QS,99
