year_dateformat,Code,Quantity
2013-07-01,TL,22
2013-08-01,TL,20
2013-09-01,TL,38
2013-10-01,TL,24
2013-11-01,TL,24
2013-12-01,TL,32
2014-01-01,TL,57
2014-02-01,TL,13
2014-03-01,TL,103
2014-04-01,TL,9
2014-05-01,TL,13
2014-06-01,TL,5
2014-07-01,TL,35
2014-08-01,TL,8
2014-09-01,TL,15
2014-10-01,TL,30
2014-11-01,TL,33
2014-12-01,TL,38
2015-01-01,TL,59
2015-02-01,TL,23
2015-03-01,TL,15
2015-04-01,TL,26
2015-05-01,TL,37
2015-06-01,TL,33
2015-07-01,TL,61
2015-08-01,TL,86
2015-09-01,TL,55
2015-10-01,TL,98
2015-11-01,TL,78
2015-12-01,TL,187
2016-01-01,TL,193
2016-02-01,TL,106
2016-03-01,TL,90
2016-04-01,TL,76
2016-05-01,TL,117
2016-06-01,TL,189
2016-07-01,TL,229
2016-08-01,TL,110
2016-09-01,TL,235
2016-10-01,TL,150
2016-11-01,TL,132
2016-12-01,TL,363
2017-01-01,TL,380
2017-02-01,TL,135
2017-03-01,TL,166
2017-04-01,TL,193
2017-05-01,TL,280
2017-06-01,TL,236
2017-07-01,TL,292
2017-08-01,TL,311
2017-09-01,TL,244
2017-10-01,TL,405
2017-11-01,TL,412
2017-12-01,TL,508
2018-01-01,TL,598
2018-02-01,TL,558
2018-03-01,TL,335
2018-04-01,TL,376
2018-05-01,TL,328
2018-06-01,TL,296
2018-07-01,TL,459
2018-08-01,TL,443
2018-09-01,TL,426
2018-10-01,TL,353
2018-11-01,TL,363
2018-12-01,TL,352
2019-01-01,TL,1000
2019-02-01,TL,243
2019-03-01,TL,196
2019-04-01,TL,332
2019-05-01,TL,395
2019-06-01,TL,323
2019-07-01,TL,477
2019-08-01,TL,409
2019-09-01,TL,422
2019-10-01,TL,65
